sentence_id	type	lemma	pos	raw_text	instance_id	target_token	same_meaning	translation_equivalents
semeval2013.d000.s000	wf	u.n.	NOUN	U.N.	None	
semeval2013.d000.s000	instance	group	NOUN	group	semeval2013.d000.s000.t000	
semeval2013.d000.s000	wf	draft	NOUN	drafts	None	
semeval2013.d000.s000	instance	plan	NOUN	plan	semeval2013.d000.s000.t001	
semeval2013.d000.s000	wf	to	PRT	to	None	
semeval2013.d000.s000	wf	reduce	VERB	reduce	None	
semeval2013.d000.s000	instance	emission	NOUN	emissions	semeval2013.d000.s000.t002	
semeval2013.d000.s001	wf	the	DET	The	None	
semeval2013.d000.s001	wf	u.n.-sponsored	ADJ	U.N.-sponsored	None	
semeval2013.d000.s001	instance	climate	NOUN	climate	semeval2013.d000.s001.t000	
semeval2013.d000.s001	instance	conference	NOUN	conference	semeval2013.d000.s001.t001	
semeval2013.d000.s001	wf	--	.	--	None	
semeval2013.d000.s001	wf	characterize	VERB	characterized	None	
semeval2013.d000.s001	wf	so	ADV	so	None	
semeval2013.d000.s001	wf	far	ADV	far	None	
semeval2013.d000.s001	wf	by	ADP	by	None	
semeval2013.d000.s001	wf	unruly	ADJ	unruly	None	
semeval2013.d000.s001	instance	posturing	NOUN	posturing	semeval2013.d000.s001.t002	
semeval2013.d000.s001	wf	and	CONJ	and	None	
semeval2013.d000.s001	wf	mutual	ADJ	mutual	None	
semeval2013.d000.s001	instance	recrimination	NOUN	recriminations	semeval2013.d000.s001.t003	
semeval2013.d000.s001	wf	--	.	--	None	
semeval2013.d000.s001	wf	gain	VERB	gained	None	
semeval2013.d000.s001	wf	renew	VERB	renewed	None	
semeval2013.d000.s001	instance	focus	NOUN	focus	semeval2013.d000.s001.t004	
semeval2013.d000.s001	instance	friday	NOUN	Friday	semeval2013.d000.s001.t005	
semeval2013.d000.s001	wf	with	ADP	with	None	
semeval2013.d000.s001	wf	the	DET	the	None	
semeval2013.d000.s001	instance	release	NOUN	release	semeval2013.d000.s001.t006	
semeval2013.d000.s001	wf	of	ADP	of	None	
semeval2013.d000.s001	wf	a	DET	a	None	
semeval2013.d000.s001	instance	document	NOUN	document	semeval2013.d000.s001.t007	
semeval2013.d000.s001	wf	outline	VERB	outlining	None	
semeval2013.d000.s001	wf	ambitious	ADJ	ambitious	None	
semeval2013.d000.s001	wf	greenhouse-gas	ADJ	greenhouse-gas	None	
semeval2013.d000.s001	instance	reduction	NOUN	reductions	semeval2013.d000.s001.t008	
semeval2013.d000.s001	wf	over	ADP	over	None	
semeval2013.d000.s001	wf	the	DET	the	None	
semeval2013.d000.s001	wf	next	ADJ	next	None	
semeval2013.d000.s001	wf	40	NUM	40	None	
semeval2013.d000.s001	instance	year	NOUN	years	semeval2013.d000.s001.t009	
semeval2013.d000.s001	wf	","	.	","	None	
semeval2013.d000.s001	wf	with	ADP	with	None	
semeval2013.d000.s001	wf	industrialize	VERB	industrialized	None	
semeval2013.d000.s001	wf	nation	NOUN	nations	None	
semeval2013.d000.s001	wf	shoulder	VERB	shouldering	None	
semeval2013.d000.s001	wf	most	ADJ	most	None	
semeval2013.d000.s001	wf	of	ADP	of	None	
semeval2013.d000.s001	wf	the	DET	the	None	
semeval2013.d000.s001	instance	burden	NOUN	burden	semeval2013.d000.s001.t010	
semeval2013.d000.s001	wf	in	ADP	in	None	
semeval2013.d000.s001	wf	the	DET	the	None	
semeval2013.d000.s001	wf	near	ADJ	near	None	
semeval2013.d000.s001	instance	term	NOUN	term	semeval2013.d000.s001.t011	
semeval2013.d000.s001	wf	.	.	.	None	
semeval2013.d000.s002	wf	the	DET	The	None	
semeval2013.d000.s002	instance	text	NOUN	text	semeval2013.d000.s002.t000	
semeval2013.d000.s002	wf	","	.	","	None	
semeval2013.d000.s002	wf	which	DET	which	None	
semeval2013.d000.s002	wf	could	VERB	could	None	
semeval2013.d000.s002	wf	provide	VERB	provide	None	
semeval2013.d000.s002	wf	the	DET	the	None	
semeval2013.d000.s002	instance	basis	NOUN	basis	semeval2013.d000.s002.t001	
semeval2013.d000.s002	wf	for	ADP	for	None	
semeval2013.d000.s002	wf	a	DET	a	None	
semeval2013.d000.s002	wf	final	ADJ	final	None	
semeval2013.d000.s002	wf	political	ADJ	political	None	
semeval2013.d000.s002	instance	deal	NOUN	deal	semeval2013.d000.s002.t002	
semeval2013.d000.s002	wf	to	PRT	to	None	
semeval2013.d000.s002	wf	regulate	VERB	regulate	None	
semeval2013.d000.s002	instance	greenhouse_gas	NOUN	greenhouse gases	semeval2013.d000.s002.t003	
semeval2013.d000.s002	wf	","	.	","	None	
semeval2013.d000.s002	wf	highlight	VERB	highlighted	None	
semeval2013.d000.s002	wf	the	DET	the	None	
semeval2013.d000.s002	wf	remain	VERB	remaining	None	
semeval2013.d000.s002	instance	obstacle	NOUN	obstacles	semeval2013.d000.s002.t004	
semeval2013.d000.s002	wf	as	ADV	as	None	
semeval2013.d000.s002	wf	much	ADV	much	None	
semeval2013.d000.s002	wf	as	ADP	as	None	
semeval2013.d000.s002	wf	it	PRON	it	None	
semeval2013.d000.s002	wf	illuminate	VERB	illuminated	None	
semeval2013.d000.s002	wf	a	DET	a	None	
semeval2013.d000.s002	instance	path	NOUN	path	semeval2013.d000.s002.t005	
semeval2013.d000.s002	wf	forward	ADV	forward	None	
semeval2013.d000.s002	wf	.	.	.	None	
semeval2013.d000.s003	wf	but	CONJ	But	None	
semeval2013.d000.s003	wf	it	PRON	it	None	
semeval2013.d000.s003	wf	be	VERB	was	None	
semeval2013.d000.s003	wf	see	VERB	seen	None	
semeval2013.d000.s003	wf	as	ADP	as	None	
semeval2013.d000.s003	wf	a	DET	an	None	
semeval2013.d000.s003	wf	important	ADJ	important	None	
semeval2013.d000.s003	instance	advance	NOUN	advance	semeval2013.d000.s003.t000	
semeval2013.d000.s003	wf	in	ADP	in	None	
semeval2013.d000.s003	wf	a	DET	a	None	
semeval2013.d000.s003	instance	negotiation	NOUN	negotiation	semeval2013.d000.s003.t001	
semeval2013.d000.s003	wf	that	DET	that	None	
semeval2013.d000.s003	wf	be	VERB	is	None	
semeval2013.d000.s003	wf	run	VERB	running	None	
semeval2013.d000.s003	wf	out	ADP	out	None	
semeval2013.d000.s003	wf	of	ADP	of	None	
semeval2013.d000.s003	instance	time	NOUN	time	semeval2013.d000.s003.t002	
semeval2013.d000.s003	wf	","	.	","	None	
semeval2013.d000.s003	wf	with	ADP	with	None	
semeval2013.d000.s003	wf	more	ADJ	more	None	
semeval2013.d000.s003	wf	than	ADP	than	None	
semeval2013.d000.s003	wf	100	NUM	100	None	
semeval2013.d000.s003	instance	world	NOUN	world	semeval2013.d000.s003.t003	
semeval2013.d000.s003	instance	leader	NOUN	leaders	semeval2013.d000.s003.t004	
